GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
284276	0	0	0	0	0	0	0	0	0	0.04965	0	0
400660	0	0	0	0	0	0	0	0	0	0	0	0
101927651	0	0	0	0	0	0	0	0	0	0	0	0
107985151	0	0	0	0	0	0	0	0	0	0	0	0
105372212	0	0	0	0	0	0	0	0	0	0	0	0
400661	0	0	0	0	0	0	0	0	0	0	0	0
105372213	0	0	0	0	0	0	0	0	0	0	0	0
100131655	1.364	1.973	0.8877	1.132	0.9284	0.6283	1.541	2.094	2.882	2.322	3.168	2.536
7776	0.7395	1.341	1.442	1.454	1.063	0.7465	0.3434	0.5419	2.718	2.192	0.7933	1.261
105372214	0	0	0	0	0	0	0	0	0	0	0	0
4155	0.05158	0.007459	0.03813	0.107	0.1834	0.08577	0.1013	0.02639	0.1617	0.3739	0.8692	0.9877
105372217	0	0	0	0	0	0	0	0	0.1809	0	0	0
107987261	0.01725	0.03991	0	0	0	0	0	0	0.06832	0	0	0.01943
2587	0	0	0	0	0	0	0	0	0	0	0	0
107985171	0	0	0	0	0	0	0	0	0	0	0	0
107985172	0	0.2337	0	0	0	0	0	0	0	0	0	0
107985129	0	0	0	0	0	0	0	0	0	0	0	0
101927715	0	0	0	0	0	0	0	0	0	0.08483	0	0
105372218	0	0	0	0	0	0	0	0	0	0.02447	0	0
105372219	0	0	0	0	0	0	0	0	0	0	0	0
105372220	0	0	0	0	0	0	0	0	0	0	0	0
105372221	0	0	0	0	0	0	0	0	0	0	0	0
105372224	0	0	0	0	0	0	0	0	0	0	0	0
645321	0	0	0	0	0	0	0	0	0	0	0	0
27164	0	0	0	0	0	0	0	0	0	0	0	0
105372225	0	0	0	0	0	0	0	0	0	0	0	0
374868	0.7066	0.6186	0.6928	1.097	0.7324	0.9119	0.5376	0.8727	0.8237	0.7624	0.9249	1.327
105372226	0	0	0	0	0	0	0	0	0	0	0.04124	0
107985149	0	0	0	0	0	0	0	0	0	0	0	0
4772	0.3999	0.9661	1.016	0.04504	0.01455	0.01203	0.01155	0.02407	0.04659	0.07413	0.2114	0.05299
107985163	0	0	0	0	0	0	0	0	0	0	0	0
101927897	0.03231	0.02492	0.02548	0	0	0.01102	0	0	0	0.01358	0	0
107985162	0	0	0	0	0	0	0.02896	0	0	0	0	0
102723506	0.01752	0	0	0	0	0	0	0	0	0	0	0
284240	0	0	0	0	0	0	0	0	0	0	0	0
105372228	0	0	0	0.1175	0	0	0	0	0	0	0	0
284241	0.2386	0.092	0	0	0.09838	0.4069	0.5466	0.3254	0	0	0	0.08958
9150	12.22	8.261	7.965	8.689	8.564	12.6	10.9	14.74	11.52	8.323	12.57	9.043
105376875	0	0	0	0	0	0.01996	0	0.01996	0	0	0	0
26251	2.155	2.518	2.599	2.48	2.403	2.672	2.689	2.368	3.294	3.051	2.957	2.451
80148	10.58	12.31	11.15	11.42	11.22	12.23	12.73	11.51	12.86	11.71	13.52	10.18
440498	1.41	0.2967	0.455	0.9822	0.3173	3.018	0.7555	0.7871	1.185	2.101	0.9604	1.444
10907	26.61	23.35	21.94	33.95	32.67	33.29	31.52	29.85	30.58	29.25	44.39	39.53
79863	4.852	5.815	5.74	8.938	7.293	7.472	7.232	6.613	9.662	7.89	10.98	10.49
100506070	0.2187	0	0.1293	0	0.1353	0.2238	0.1074	0	0.1444	0.1378	0	0
22850	7.47	4.695	5.26	7.163	6.641	6.486	3.08	5.376	7.878	7.685	7.46	9.508
100130522	0.3073	0.3282	0.1119	0.2414	0.05849	0.7741	0.4875	0.4112	0.2809	0.1192	0.1417	0.1598
84552	1.727	2.984	3.106	1.647	1.453	0.8956	0.7689	0.754	2.585	2.352	0.8625	1.271
375690	4.118	5.574	4.32	5.952	4.999	3.578	3.052	3.1	5.95	5.583	5.47	5.077
105376912	0	0	0	0	0	0	0	0	0	0	0	0
100422919	0	0	0	0	0	0	0	0	0	0.8071	0	0
641702	0.07818	0.09046	0	0	0	0.16	0	0.07999	0	0	0	0
81099	0	0	0	0	0	0	0	0	0	0	0	0
399844	0.8157	0.6082	0.6218	0.6479	0.6951	0.946	1.139	0.6862	1.532	1.211	0.4616	0.2654
101928344	0.2889	0.1671	0.2685	0.3161	0.2808	0.2957	0.3445	0.3167	0.545	0.4683	0.2164	0.279
107985295	0	0	0	0.05152	0	0	0	0.04129	0	0	0.06046	0
8612	43.38	73.57	74.45	24.9	21.79	28.91	28.78	29.87	35.89	35.09	21.42	19.57
54531	10.91	15.46	14.25	11.29	12.29	10.75	12.42	15.45	19.5	16.22	14.5	10.53
51298	0.2479	0.06375	0.1955	0	0.06816	0	0	0	0	0	0	0
126567	0.4831	2.564	2.958	0	0	0.05816	0	0	0	0.03582	0.04257	0.09603
25759	1.766	11.66	12.8	0.1057	0	0.3389	0.3252	0.48	0.8382	0.3827	0.9095	0.5285
284451	1.006	1.281	1.071	0.3426	0.2905	0.8924	0.7905	2.299	1.019	1.522	0.1507	0.529
8174	0.05733	0.199	0.3391	0.3659	0.3546	0.176	0	0	0.2271	0.2891	0.3435	0.1937
105372232	0.5812	0.8966	1.146	1.484	0.4794	0.3965	0.5707	0.9911	1.535	0.977	1.741	1.309
