Gene,THP1_sgNT_R1,THP1_sgNT_R2
AC002981.1,0,0
AC002984.1,0,0
AC002985.1,0,0
AC002996.1,0,0
AC003001.1,0,0
AC003001.2,0,0
AC003002.1,0,0
AC003002.2,0.346,0.411
AC003002.3,0.397,0.177
AC003005.1,0,0
AC003005.2,0.271,0.323
AC003006.1,0.072,0.086
AC003009.1,0,0
AC003035.1,0.221,0
AC003035.2,0,0
AC003043.1,0,0
AC003043.2,0,0
AC003043.3,0,0.018
AC003044.1,0,0
AC003070.1,0,0.156
AC003070.2,0,0
AC003070.7,0,0
AC003071.1,0,0
AC003072.1,2.748,4.318
AC003072.2,0,0
AC003077.1,0,0
AC003080.1,0,0
AC003084.1,0,0
AC003086.1,2.785,3.236
AC003087.1,0,0
AC003092.1,0,0
AC003092.2,0,0
AC003093.1,0,0.054
AC003098.1,0,0
AC003101.1,0.131,0
AC003101.2,0.272,0.485
AC003101.3,0,0
AC003102.1,1.433,1.739
AC003109.1,0,0
AC003657.1,0,0
AC003657.2,0,0
AC003659.1,0,0
AC003666.1,0,0
AC003669.1,0,0
AC003681.1,0,0.001
AC003682.1,1.56,3.401
AC003684.1,0,0
AC003685.1,0,0
AC003685.2,0,0
AC003686.1,0,0
AC003687.1,0,0
AC003688.1,0,0
AC003688.2,0,0
AC003688.3,0,0
AC003950.1,0,0.098
AC003956.1,0,0
AC003957.1,0,0
AC003958.1,0,0
AC003958.2,0,0
AC003965.1,0.212,0.42
AC003965.2,0,0
AC003973.1,0,0.012
AC003973.2,0,0
AC003975.1,0,0
AC003982.1,0,0
AC003984.1,0,0
AC003985.1,0,0
AC003986.1,0,0
AC003986.2,0.878,1.127
AC003986.3,0.521,0.619
AC003988.1,0,0
AC003989.1,0,0
AC003989.2,0,0
AC003991.1,0.025,0.059
AC003991.2,0.104,0.124
AC003992.1,0.324,0.385
AC004000.1,1.249,2.474
AC004004.1,0,0
AC004006.1,0,0
AC004009.1,0,0
AC004009.2,0,0
AC004009.3,0,0
AC004012.1,0,0
AC004014.1,0,0
AC004014.2,0,0
AC004022.1,0,0
AC004022.2,0,0
AC004023.1,0,0
AC004024.1,2.189,1.735
AC004034.1,0.236,0.28
AC004039.1,1.007,0.998
AC004047.1,0,0
AC004052.1,0,0
AC004053.1,0,0
AC004054.1,0,0
AC004057.1,1.568,3.585
AC004062.1,0,0
AC004063.1,0,0
AC004066.1,0,0
AC004067.1,0.086,0.204
AC004069.1,2.626,2.472
AC004069.2,0.054,0
AC004069.3,0,0
AC004074.1,0,0
AC004076.1,0.117,0.069
AC004076.2,0.434,0.494
AC004079.1,0,0
AC004079.2,0,0
AC004079.3,0,0
AC004079.4,0,0
AC004079.5,0,0
AC004080.1,0,0
AC004080.10,0,0
AC004080.11,0,0
AC004080.12,0,0
AC004080.13,0,0
AC004080.14,0,0
AC004080.15,0,0
AC004080.16,0,0
AC004080.17,0,0
AC004080.2,15.773,13.745
AC004080.3,0,0
AC004080.4,0,0.113
AC004080.5,0,0
AC004080.6,0.065,0.078
AC004080.7,0,0
AC004080.8,0,0
AC004080.9,0,0
AC004083.1,0,0.015
AC004112.1,0,0
AC004125.1,0,0
AC004129.1,0,0
AC004129.2,0,0
AC004129.3,0,0
AC004129.4,0,0
AC004130.1,0,0
AC004130.2,0,0
AC004134.1,0,0
AC004147.1,0,0
AC004147.2,0,0
AC004147.3,0,0
AC004147.4,0,0
AC004147.5,0,0
AC004148.1,1.798,1.916
AC004156.1,0.054,0.172
AC004158.1,0,0
AC004160.1,0.021,0.025
AC004160.2,0,0
AC004217.1,0,0
AC004217.2,0,0
AC004221.1,0.071,0.085
AC004223.1,0.222,0.264
AC004223.2,0,0.263
AC004223.3,0,0.036
AC004223.4,0,0
AC004224.1,0,0
AC004224.2,0.114,0
AC004231.1,0,0
AC004231.3,0,0.277
AC004232.1,0,0
AC004232.2,1.144,1.224
AC004233.1,0,0.117
AC004233.2,0.805,0.507
AC004233.3,0.288,0
AC004241.1,1.743,1.246
AC004241.2,2.841,1.448
AC004241.3,2.208,2.901
AC004241.4,0,0.064
AC004241.5,0,0
AC004253.1,0,0
AC004253.2,0,0
AC004257.1,0.217,0
AC004263.1,0.62,0.105
AC004263.2,0.204,0.182
AC004264.1,0,0
AC004264.2,0,0
AC004381.1,0.513,1.017
AC004381.2,1.897,0.752
AC004381.3,0,0
AC004381.4,0,0
AC004383.1,2.702,2.224
AC004386.1,0.474,0.469
AC004386.2,0,0
AC004386.3,0,0
AC004386.4,0,0
AC004386.5,0,0
AC004386.6,0,0
AC004386.7,0,0
AC004408.1,0.314,0.249
AC004408.2,0.692,0.746
AC004415.1,0,0
AC004448.1,0,0
AC004448.2,0,0
AC004448.3,0,0
AC004448.4,0,0
AC004448.5,0,0
AC004449.1,0.139,0.33
AC004453.1,45.345,60.568
AC004453.2,0,0.033
AC004461.1,0,0
AC004461.2,0.149,0.177
AC004461.3,1.496,1.423
AC004464.1,0,0
AC004466.1,0.501,0.198
AC004466.2,0.349,0
AC004466.3,0,0
AC004467.1,0,0
AC004470.1,0,0
AC004470.2,0,0
AC004471.1,0.516,0.859
AC004471.2,0.04,0
AC004477.1,0.43,0.195
AC004477.2,0,0
AC004477.3,0.407,0.242
AC004485.1,0.114,0
AC004486.1,0,0
AC004490.1,0,0.026
AC004491.1,0,0.076
AC004492.1,3.724,2.021
AC004494.1,0.02,0.145
AC004494.2,0.072,0.086
AC004510.1,0,0
AC004522.1,0,0
AC004522.2,0,0
AC004522.3,0,0
AC004522.4,0.088,0
AC004522.5,0.069,0
AC004522.6,0,0
AC004528.1,0,0
AC004528.2,0,0
AC004540.1,0.1,0.138
AC004540.2,0,0.025
AC004542.1,0,0
AC004542.2,0.11,0.131
AC004542.3,0,0
AC004542.4,0,0
AC004542.5,0,0
AC004542.6,0,0
AC004543.1,0,0
AC004549.1,0,0
AC004551.1,0,0
AC004552.1,0.345,2.052
AC004554.1,0,0
AC004554.2,0.127,0
AC004562.1,0,0
AC004584.1,0,0
AC004584.2,0,0
AC004584.3,0.153,0.182
AC004585.1,1.037,0.643
AC004585.2,0,0
AC004590.1,0,0
AC004593.1,0,0.028
AC004593.2,0,0
AC004594.1,0,0
AC004596.1,0,0.271
AC004597.1,0,0
AC004623.1,0,0.067
AC004637.1,0,0
AC004664.1,0,0
AC004672.1,0,0
AC004672.2,0,0.124
AC004674.1,0,0
AC004674.2,0,0
AC004678.1,3.039,3.229
AC004678.2,0.959,1.212
AC004687.1,26.947,30.678
AC004687.2,0.041,0.037
AC004687.3,0.162,0.115
AC004690.1,0,0
AC004690.2,0,0
AC004691.1,0,0
AC004691.2,0,0
AC004692.1,0.283,0.337
AC004692.2,0,0
AC004696.1,0,0
AC004696.2,0,0
AC004702.1,0,1.099
AC004704.1,0,0
AC004706.1,0.068,0.081
AC004706.2,0,0
AC004706.3,0.868,0.826
AC004707.1,1.767,3.501
AC004707.2,3.696,3.796
AC004765.1,0.052,0
AC004771.1,0,0.325
AC004771.2,4.143,3.111
AC004771.3,0.507,1.055
AC004771.4,0,0.395
AC004774.1,0,0
AC004774.2,0,0
AC004774.3,0,0
AC004775.1,0,0.095
AC004777.1,0,0
AC004784.1,0,0
AC004788.1,0,0
AC004790.1,0,0
AC004790.2,0,0
AC004792.1,0,0
AC004797.1,0,0
AC004801.1,0,0
AC004801.2,0.848,0.825
AC004801.3,0,0
AC004801.4,0,0
AC004801.5,0,0
AC004801.6,1.474,1.241
AC004801.7,0,0
AC004803.1,2.472,2.005
AC004805.1,0,0
AC004805.2,0,0
AC004805.3,0,0
AC004808.1,0,0
AC004808.2,0,0
AC004812.1,0,0.489
AC004812.2,2.783,2.797
AC004815.1,0,0.197
AC004816.1,0.245,0.291
AC004816.2,0,0
AC004817.1,0,0
AC004817.2,0,0
AC004817.3,0.113,0.134
AC004817.4,0,0
AC004817.5,0,0
AC004825.1,0,0
AC004825.2,1.98,2.512
AC004825.3,0,0
AC004828.1,0.092,0
AC004828.2,0,0
AC004830.1,0,0
AC004830.2,0,0
AC004832.1,0,0
AC004832.2,0.249,0
AC004832.3,0,0
AC004832.4,0.181,0.432
AC004832.5,0,0
AC004832.6,0.683,0.609
AC004834.1,0.091,0.093
AC004835.1,0.021,0
AC004835.2,0,0
AC004836.1,0,0
AC004837.1,0,0
AC004837.2,0,0
AC004837.3,0,0
AC004837.4,0.266,0.189
AC004839.1,4.143,5.418
AC004839.2,0.24,0.143
AC004840.1,0.321,0.573
AC004840.2,0.211,0
AC004846.1,2.166,1.733
AC004846.2,1.082,1.838
AC004847.1,4.683,4.074
AC004849.1,1.251,0.744
AC004852.1,0,0
AC004852.2,0,0
AC004852.3,0,0
AC004854.1,0.172,0.614
AC004854.2,0.417,0.843
AC004858.1,0.496,0
AC004862.1,0,0
AC004863.1,0,0
AC004865.1,0,0
AC004865.2,5.774,5.617
AC004866.1,0,0
AC004866.2,0,0
AC004869.1,0,0
AC004869.2,0,0
AC004870.1,0.068,0.081
AC004870.2,0.038,0.045
AC004870.3,0,0
AC004870.4,0,0
AC004875.1,0,0
AC004877.1,0,0
AC004877.2,1.404,1.431
AC004879.1,0,0
AC004879.2,0,0
AC004882.1,0,0
AC004882.2,0,0
AC004882.3,0,0
AC004882.4,0.077,0
AC004884.1,0.753,0.448
AC004884.2,0,0
AC004888.1,0,0
AC004890.1,5.31,5.524
AC004890.2,0.434,0.4
AC004890.3,0,0
AC004893.1,0,0
AC004893.2,0.02,0.048
AC004895.1,0,0.117
AC004898.1,0.314,0.28
AC004899.1,0,0
AC004899.2,0,0
AC004900.1,0,0
AC004908.1,0,0
AC004908.2,1.465,0.498
AC004908.3,1.346,0.8
AC004909.1,0,0
AC004910.1,0,0
AC004911.1,0,0
AC004912.1,0,0
AC004917.1,0,0
AC004918.1,0.078,0
AC004918.5,0,0
AC004920.1,0,0
AC004921.1,0,0.097
AC004921.2,0,0.073
AC004922.1,0.155,0.106
AC004923.1,0.232,0.092
AC004923.2,0,0
AC004923.3,0,0
AC004923.4,0.163,0.29
AC004925.1,0,0
AC004930.1,0,0
AC004936.1,0,0
AC004938.1,0,0
AC004938.2,1.037,0.863
AC004941.1,0,0
AC004941.2,0,0.313
AC004943.1,0.991,0.758
AC004943.2,5.712,5.083
AC004943.3,0,0
AC004944.1,0,0
AC004945.1,0,0
AC004946.1,0,0
AC004946.2,0,0
AC004947.1,0,0
AC004947.2,0,0
AC004947.3,0,0.35
AC004948.1,0.447,0.319
AC004949.1,0,0.023
AC004951.1,2.028,2.335
AC004951.2,1.894,1.531
AC004951.3,0.157,0.373
AC004951.4,0.376,0.034
AC004965.1,0,0
AC004966.1,0,0
AC004967.1,11.825,14.061
AC004967.2,5.441,5.534
AC004969.1,0.104,0
AC004972.1,0,0
AC004973.1,0.284,0
AC004974.1,0.019,0
AC004975.1,0,0
AC004975.2,0,0
AC004980.1,2.859,3.192
AC004980.2,0,0
AC004980.3,0.823,0.196
AC004980.4,0,0
AC004980.5,0,0
AC004982.1,0.036,0
AC004982.2,0.243,0.165
AC004986.1,0,0
AC004987.1,0,0.141
AC004987.2,0,0
AC004987.3,0,0
AC004988.1,0,0
AC004990.1,0.601,0.435
AC004997.1,0.029,0.035
AC005000.1,3.129,1.984
AC005000.2,0,0
AC005002.1,0,0
AC005002.2,0,0
AC005005.1,0,0
AC005005.2,0,0
AC005005.3,1.065,1.216
AC005005.4,0.025,0.013
AC005006.1,0,0
AC005008.1,0,0
AC005008.2,0,0
AC005009.1,0,0
AC005011.1,0,0
AC005013.1,0,0
AC005014.1,0.161,0.12
AC005014.2,0.401,0.358
AC005014.3,0.316,0
AC005014.4,0,0
AC005019.1,0.279,0.663
AC005019.2,0,0
AC005020.1,0,0
AC005020.2,0,0
AC005021.1,0,0
AC005034.1,0,0
AC005034.2,0,0
AC005034.3,0,0.173
AC005034.4,0,0
AC005034.5,0.535,0.079
AC005034.6,9.796,9.196
AC005034.7,0.29,0.21
AC005037.1,1.42,1.248
AC005037.2,6.883,2.976
AC005040.1,0,0
AC005040.2,0,0
AC005041.1,0.017,0.02
AC005041.2,0,0
AC005041.3,0.833,0.44
AC005041.4,0,0
AC005041.5,0.307,0.073
AC005042.1,0,0
AC005042.2,0,0
AC005045.1,0,0
AC005045.2,0,0
AC005046.1,0,0
AC005046.2,0.769,1.028
AC005049.1,0,0
AC005050.1,0.034,0
AC005050.2,0,0
AC005050.3,0,0
AC005052.1,0.072,0
AC005052.2,0.12,0.071
AC005062.1,0,0
AC005064.1,0,0
AC005064.2,0,0
AC005064.3,0,0
AC005066.1,0,0
AC005070.1,0,0
AC005070.2,0,0
AC005070.3,0.431,0.324
AC005071.1,0,0
AC005071.2,0.168,0
AC005072.1,0.304,0.562
AC005076.1,0,0.7
AC005076.2,2.778,2.753
AC005076.3,0,0.415
AC005077.1,0.16,0.381
AC005077.2,0.261,0.207
AC005077.3,0.162,0
AC005077.4,0.395,0.245
AC005081.1,0,0.069
AC005082.1,0.053,0.032
AC005082.2,0,0
AC005083.1,0,0
AC005084.1,0,0
AC005086.1,0,0
AC005086.2,0,0
AC005086.3,0,0
AC005086.4,0,0
AC005086.5,0,0
AC005088.1,0,0
AC005089.1,0.992,0.956
AC005090.1,0,0
AC005091.1,0.05,0.18
AC005094.1,0,0
AC005096.1,0,0
AC005099.1,0.295,0
AC005100.1,0,0
AC005100.2,0.044,0
AC005102.1,0,0
AC005104.1,0,0
AC005104.2,0,0.105
AC005104.3,0,0
AC005105.1,0,0
AC005144.1,0,0
AC005153.1,0,0
AC005154.1,0,0
AC005154.2,1.164,0.974
AC005154.3,0,0
AC005154.4,0,0
AC005154.5,0,0
AC005156.1,0,0
AC005160.1,0,0
AC005162.1,0.312,0
AC005162.2,0.012,0.014
AC005165.1,0.058,0.127
AC005165.2,0,0.564
AC005165.3,0,0
AC005176.1,0,0
AC005176.2,0,0
AC005178.1,0,0
AC005180.1,0.102,0.243
AC005180.2,0,0
AC005181.1,0,0
AC005183.1,0,0
AC005185.1,0,0
AC005189.1,0.775,0.23
AC005191.1,0,0
AC005197.1,0,0
AC005208.1,0,0
AC005209.1,0,0
AC005219.1,0,0
AC005220.1,0.34,0.404
AC005224.1,0,0.038
AC005224.2,0.112,0.3
AC005224.3,13.817,11.154
AC005225.1,0,0
AC005225.2,0,0
AC005225.3,0.347,0
AC005225.4,0.567,0.674
AC005229.1,0,0
AC005229.2,0,0
AC005229.3,0,0
AC005229.4,5.411,6.954
AC005229.5,0,0
AC005230.1,0,0
AC005232.1,0,0
AC005234.1,0,0
AC005234.2,0,0
AC005237.1,0,0
AC005237.2,0,0
AC005244.1,0.709,0.421
AC005244.2,0,0
AC005252.1,0,0
AC005252.2,0,0
AC005252.3,0,0
AC005252.4,0,0
AC005253.1,0,0
AC005253.2,0,0.331
AC005255.1,8.899,10.581
AC005256.1,0.262,0
AC005258.1,0,0
AC005258.2,0.049,0
AC005261.1,13.148,13.117
AC005261.2,0,0
AC005261.3,0,0
AC005261.4,1.184,2.213
AC005261.5,0,0.051
AC005262.1,1.493,1.381
AC005262.2,2.259,1.422
AC005264.1,0.026,0.092
AC005274.1,0,0
AC005277.1,0.179,0.213
AC005277.2,0,0
AC005280.1,0.587,0.798
AC005280.2,0.468,0.202
AC005280.3,0.514,0.175
AC005281.1,0,0
AC005288.1,1.141,0.814
AC005291.1,0.469,0.111
AC005291.2,0,0.137
AC005293.1,0,0
AC005294.1,0,0
AC005296.1,0,0
AC005297.1,0,0
AC005297.2,0,0
AC005297.3,0,0
AC005300.1,0,0
AC005301.1,0,0
AC005301.2,0,0
AC005303.1,0,0
AC005304.1,0,0
AC005304.2,0,0
AC005304.3,0,0.419
AC005306.1,2.891,1.91
AC005307.1,0,0
AC005323.1,0,0
AC005323.2,0,0
AC005324.1,0,0
AC005324.2,0,0
AC005324.3,0.022,0.052
AC005324.4,0.014,0
AC005324.5,0.105,0
AC005324.6,0,0
AC005326.1,0,0
AC005329.1,1.85,1.72
AC005329.2,0.135,0
AC005329.3,0.022,0.026
AC005330.1,0,0
AC005332.1,0.138,0
AC005332.2,0.021,0.024
AC005332.3,9.024,6.566
AC005332.4,0.689,0.499
AC005332.5,2.657,2.611
AC005332.6,48.593,44.207
AC005332.7,0.097,0
AC005336.1,0.048,0
AC005336.2,0,0
AC005336.3,0,0
AC005339.1,1.532,2.551
AC005341.1,0,0
AC005342.1,0,0
AC005342.2,0.572,0.453
AC005343.1,0,0
AC005343.4,0.175,0
AC005344.1,0,0
AC005345.1,0,0
AC005351.1,0,0
AC005355.1,0,0
AC005355.2,0.124,0
AC005357.1,0,0
AC005357.2,0,0.091
AC005358.1,0,0.019
AC005363.1,0,0
AC005363.2,0.496,1.181
AC005377.1,0,0
AC005379.1,0,0
AC005381.1,0,0
AC005383.1,0,0
AC005387.1,0.171,0
AC005387.2,0,0
AC005389.1,0,0
AC005391.1,3.699,3.351
AC005392.1,0,0
AC005392.2,0,0
AC005392.3,0,0
AC005393.1,0.206,0.122
AC005394.1,0,0
AC005394.2,0,0
AC005400.1,0.21,0.415
AC005410.1,0.06,0.143
AC005410.2,0.389,0
AC005412.1,0,0
AC005414.1,0,0
AC005476.1,0,0
AC005476.2,0.104,0.062
AC005477.1,0,0
AC005479.1,0.408,0.121
AC005479.2,0,0
AC005480.1,0.03,0
AC005480.2,0,0.952
AC005481.1,0.4,0.393
AC005482.1,0,0
AC005486.1,0.278,0
AC005487.1,0,0.025
AC005495.1,0,0.035
AC005495.2,0,0
AC005498.1,0,0
AC005498.2,0.163,0.323
AC005498.3,0.668,0.595
AC005514.1,1.155,0.687
AC005515.1,0,0
AC005515.2,0,0
AC005518.1,0,0
AC005518.2,0,0
AC005519.1,0.967,1.463
AC005520.1,0,0
AC005520.2,0,0
AC005520.3,0.114,0.077
AC005520.4,0.441,0.295
AC005520.5,0.974,0.965
AC005520.6,0,0
AC005520.7,0.169,0.134
AC005521.1,0,0
AC005522.1,0,0
AC005523.1,0.719,0.171
AC005523.2,0.034,0.06
AC005524.1,0,0
AC005529.1,0.416,0
AC005531.1,0,0.053
AC005532.1,0.074,0.132
AC005532.2,0,0
AC005534.1,0.355,0.422
AC005534.2,0.139,0
AC005537.1,0,0
AC005537.2,0.152,0.097
AC005538.1,0,0
AC005538.2,0,0
AC005538.3,0,0
AC005540.1,0.784,0.466
AC005544.1,0,0
AC005544.2,0.262,0
AC005546.1,3.226,3.836
AC005548.1,0,0
AC005549.1,0,0
AC005550.1,0,0
AC005550.2,0,0
AC005551.1,0,0
AC005552.1,0,0
AC005559.1,0.069,0
AC005562.1,1.953,1.962
AC005562.2,0,0
AC005578.1,0,0.21
AC005580.1,0,0
AC005586.1,0.104,0.495
AC005586.2,0,0
AC005587.1,0,0
AC005588.1,0,0
AC005592.1,0,0
AC005592.2,0.481,0.326
AC005593.1,0.35,0.139
AC005594.1,0,0
AC005597.1,0,0
AC005599.1,0,0
