Gene,Pat3.Myeloid,Pat1.Myeloid,Pat2.Myeloid,Pat5.Myeloid,MS2.Myeloid,MS4.Myeloid,MS5.Myeloid
STAMBP,3.33,2.9,3.296,3.262,3.947,2.749,3.495
POLR3F,2.543,1.978,2.692,2.636,1.767,1.788,1.927
POLR3C,2.006,1.467,2.379,2.13,0,2.347,1.738
TRIM16,0,1.467,0.8798,0,2.538,0.8619,0.9515
ATP5L,5.264,4.898,5.509,5.068,4.5,5.999,6.703
RASL10A,2.006,2.179,1.816,2.319,0,1.398,1.927
RAD51AP1,0,1.122,0.8798,0.3862,0,2.347,2.379
NPRL2,2.685,2.512,2.379,2.563,0,2.562,2.822
IGF2BP3,0,1.467,0.5059,0,1.767,0,0.9515
YKT6,4.21,4.716,4.757,4.389,4.338,2.914,4.52
PMVK,3.414,2.653,2.949,2.772,3.038,2.347,3.908
CES1,0,0,0,0.6905,1.767,0,3.434
CSPG5,0,0,0,0,0,0,0
GNB5,2.685,1.978,2.595,3.065,4.899,3.063,1.927
EBP,3.24,2.355,1.816,2.896,1.767,2.094,1.927
PNMA2,2.208,1.978,1.176,1.507,1.767,1.398,1.264
CCT8,4.652,4.869,4.46,4.658,4.5,4.422,5.261
CNPY3,7.636,6.615,7.501,6.564,6.094,6.57,6.773
ADCY1,1.771,1.745,1.816,3.117,3.408,1.398,0.5528
FAM189B,1.771,1.978,2.257,1.655,0,2.562,1.927
USP39,2.006,2.512,3.025,2.706,1.767,2.562,3.495
AP4B1,4.301,4.025,3.167,3.554,1.767,3.637,2.723
CFL1,8.032,7.585,7.894,7.319,7.319,8.145,9.359
MGEA5,5.939,6.615,6.083,6.18,5.686,5.822,5.834
CFL2,3.708,3.206,3.414,2.896,4.5,3.321,3.083
TCFL5,1.142,0.6671,2.124,2.405,2.538,2.562,1.927
STAG3,3.836,3.972,4.284,4.11,3.947,3.974,3.553
STAG2,5.044,5.357,5.324,5,4.899,5.271,4.835
RAI1,3.33,3.295,3.356,3.591,2.538,3.637,3.083
PHTF1,2.006,1.745,1.176,2.319,0,2.914,2.379
MAP3K2,6.125,6.328,5.952,6.066,5.933,6.467,6.242
KIF1C,5.218,5.007,4.688,5.749,6.705,5.522,4.578
CTSC,6.418,6.58,6.203,6.632,5.686,7.069,8.104
CAPN9,,,,,,,
GIPC1,2.543,2.512,3.098,2.486,3.408,2.914,4.077
TRAF3IP2,3.953,3.605,4.084,4.929,6.284,4.308,2.243
KDM5B,2.933,2.653,2.491,2.319,3.038,3.198,2.379
TOB2,4.008,4.308,4.591,4.16,4.338,5.522,4.52
PLK2,2.385,1.745,1.816,2.025,2.538,0.8619,1.52
ARPP19,4.162,4.508,4.345,4.135,3.408,4.927,5.013
ZNF274,2.685,2.653,1.816,3.394,4.338,2.562,2.379
WDR4,1.491,1.745,1.176,1.655,1.767,1.788,0.9515
ZNF273,1.142,0,0.5059,0.9417,0,0,0
ZNF460,0,0,0,0,0,0,0.9515
SEPT9,2.815,2.653,2.595,2.405,4.778,5.692,4.66
HSPH1,3.895,6.723,4.487,4.16,3.703,4.627,4.859
NOXA1,3.043,3.111,3.674,3.215,0,2.347,1.52
CPLX2,1.142,0,0,0,0,0,0
CPLX1,0,0,0,0,0,0,0
FAXDC2,0.6812,0.6671,0,0.9417,3.408,2.562,1.264
TUBGCP2,3.708,3.295,2.595,4.031,3.408,3.729,4.192
CLPX,4.428,4.431,4.46,4.209,5.933,4.476,4.036
PDE10A,0,0.6671,0,0,0,0,0
PGRMC1,4.21,3.673,4.253,3.627,4.338,3.434,3.495
TSPAN9,0,0,0.5059,0.3862,1.767,0,0
MALT1,3.708,4.077,3.766,4.302,4.338,4.578,4.228
CPSF4,2.685,1.978,3.025,2.772,2.538,3.539,2.243
RUNDC3A,0.6812,1.122,1.422,0.9417,3.408,1.788,0
BRD8,3.33,3.673,3.894,2.706,4.899,3.974,3.001
BLCAP,2.685,3.379,2.949,3.515,3.038,3.637,3.716
TRAFD1,3.64,3.8,4.22,4.346,4.646,2.562,3.303
PNPLA6,4.617,4.35,4.823,4.11,1.767,4.308,4.787
SUGT1,4.428,4.431,4.757,4.135,4.646,4.422,4.429
PAPOLA,5.264,5.568,5.384,5.724,5.686,5.359,5.562
MAGED2,4.72,4.431,4.844,4.302,2.538,4.528,4.192
EHMT2,3.568,3.379,3.766,3.065,2.538,3.198,3.995
FASTK,2.815,2.653,3.233,3.627,3.038,2.562,3.001
SRSF8,3.953,4.748,4.345,4.623,5.302,4.183,4.116
PRDX3,4.387,3.917,3.852,4.491,3.038,4.888,5.395
MSL3,4.008,3.459,4.514,4.084,3.408,3.974,3.083
C11orf58,3.953,4.025,4.46,4.431,4.156,5.208,5.379
SF3A3,3.895,3.738,3.934,4.084,3.947,4.308,4.077
AP3M2,0.6812,2.512,2.379,2.13,0,1.398,1.927
STARD3,4.301,2.512,3.766,3.515,3.038,3.974,4.155
HNRNPA0,4.008,4.47,3.674,5.23,3.703,4.927,4.46
CBX1,3.043,2.9,2.783,3.436,3.408,3.637,4.077
SEC61B,3.708,3.673,3.72,3.476,3.703,5.621,5.958
TOMM34,1.142,1.978,1.632,0.6905,0,1.788,2.243
SERINC3,5.91,6.137,6.127,5.673,6.094,6.385,6.179
OS9,5.434,5.007,5.369,6.252,4.778,5.24,4.264
TMED2,4.544,4.126,4.315,4.233,3.947,4.966,5.427
LMAN2,4.061,3.738,3.852,4.71,4.156,4.476,4.97
ERP29,4.686,4.22,4.403,4.568,4.156,5.843,5.411
MLLT11,1.771,1.122,1.816,1.655,0,1.398,0.9515
YWHAQ,4.387,4.265,4.22,4.256,5.115,5.109,5.488
ASCC3,3.568,3.459,3.167,3.436,3.408,4.117,3.233
ADIRF,0,0,0,0,0,0,0
FERMT2,0.6812,0,0.5059,1.789,3.408,0,0.5528
COPS6,3.708,4.025,3.47,3.011,3.703,3.815,4.298
RAB32,4.752,3.8,4.22,4.279,3.038,4.674,5.054
CCNI,6.669,6.525,6.722,6.711,7.058,7.925,8.266
METAP2,3.568,4.839,4.403,4.389,3.947,4.763,5.054
SDS,0,0,0,0,0,4.117,5.798
ILVBL,2.208,2.9,3.167,3.167,1.767,1.788,2.914
SLC27A3,3.043,2.782,2.692,3.117,1.767,2.562,2.914
TLK2,3.895,3.605,3.296,3.117,1.767,2.914,3.16
LIAS,3.24,3.459,3.674,3.828,4.899,3.434,3.37
RCBTB2,5.474,4.748,4.985,5.518,3.038,3.815,4.298
IFT27,3.043,2.9,3.356,3.764,3.408,2.094,2.914
RAB35,3.145,3.605,3.524,4.084,0,2.347,2.822
RBPMS,0,0,0,0,0,0,0.5528
ADAP1,1.491,1.978,1.176,1.507,0,2.094,1.738
RCC1,2.006,2.355,1.816,1.156,0,2.347,2.379
MID2,0,0,0,0,0,0,0
PAPD7,2.685,3.295,3.233,3.591,2.538,2.914,2.094
SLC35D2,3.708,2.9,3.414,3.627,3.703,3.434,3.815
ADRM1,1.771,2.179,2.491,2.836,0,2.914,2.503
NUDT21,3.708,3.917,3.47,3.117,4.156,3.063,4.606
CPSF6,3.708,4.391,4.011,4.135,3.408,3.539,3.815
OGFR,3.773,2.355,3.766,4.031,3.038,4.183,4.46
DDX52,4.544,3.972,3.625,4.004,2.538,3.063,3.233
CNTRL,4.652,5.603,5.454,4.929,4.646,5.208,4.686
RAPGEF4,0,1.122,0.5059,0,0,0,0
TMEM115,3.836,3.295,3.934,2.636,1.767,2.347,2.723
STMN2,1.491,1.122,1.978,0,1.767,0,0
TPPP,0,0,0,0,3.947,0,0
HSF2BP,0,0.6671,0.8798,0,0,0,0
RER1,4.008,3.738,3.524,3.858,1.767,3.897,4.606
DNAJB4,0.6812,3.01,1.978,1.655,2.538,2.562,1.52
DIDO1,3.895,4.077,4.375,4.256,4.778,4.528,3.716
WDR5,2.685,3.01,2.257,3.011,0,3.063,2.723
CACFD1,2.006,1.467,1.422,2.227,0,0.8619,1.52
NUPL2,4.112,3.01,3.72,3.764,0,4.476,3.233
PTPN21,0.6812,1.122,0,0,1.767,0,0.9515
ADCY5,0,0,0,0.6905,0,0,0
ATE1,2.815,3.295,3.098,2.486,0,3.815,3.16
KRR1,4.962,5.133,4.865,4.693,3.703,4.247,4.578
PRDM5,0,0,0,0,0,0.8619,0.5528
PRDM4,3.33,3.459,2.868,3.262,0,2.914,3.303
EMILIN1,2.385,1.745,3.233,2.025,0,1.788,1.52
BTN3A1,5.373,5.293,5.369,5.498,6.529,6.689,5.698
PTPRT,0.6812,0.6671,0.5059,0.3862,1.767,0,0
CLASRP,2.933,2.782,2.692,4.004,0,2.562,2.503
CHGA,0,0,0.5059,0,0,0,0
ZWINT,1.491,0.6671,0,0.3862,0,0,0.5528
PWP1,3.414,4.174,4.188,3.731,3.408,3.729,3.766
CDC37,4.99,4.616,5.004,5.014,4.778,5.039,5.363
PLA2G16,5.241,4.545,4.965,4.302,5.875,4.578,4.49
GLMN,1.771,2.782,1.632,2.025,1.767,2.347,1.738
HHLA3,2.208,2.179,2.379,0.9417,3.408,0.8619,2.243
WDR45,4.99,4.47,4.886,4.929,6.602,4.966,3.61
PTP4A3,0,0,0,0,0,2.347,1.52
LSM6,2.385,2.512,1.978,2.706,0,3.321,3.61
NUDT4,4.008,3.605,4.22,3.117,4.646,4.422,4.077
NUDT3,8.547,8.19,8.681,7.965,7.319,7.234,7.224
FSTL1,0,0.6671,0,0,0,0,0
PSIP1,4.652,5.157,5.004,4.431,4.338,4.674,4.116
WDHD1,0.6812,1.467,0.5059,1.507,1.767,1.788,1.264
STRAP,3.493,2.9,3.025,3.627,3.408,4.117,4.192
INSL6,0,0,0,0,0,0,0
BAZ2A,5.605,6.011,5.495,4.431,3.703,5.884,5.547
BAZ1A,4.544,4.953,5.482,5.119,4.778,5.78,5.798
ABCB8,0.6812,0.6671,1.176,0.3862,2.538,0.8619,1.52
SEC23IP,3.836,3.295,3.47,3.591,2.538,2.914,3.434
ADCY6,2.006,0,1.816,1.156,1.767,0.8619,0.5528
CHKB,3.493,3.605,3.625,4.185,2.538,3.897,3.233
POLI,3.043,4.126,3.625,3.918,1.767,2.347,3.16
RPL35,5.91,5.799,5.797,6.246,6.921,7.383,7.853
