Geneid	C2_1Aligned.sortedByCoord.out.markDups	C1_1Aligned.sortedByCoord.out.markDups	K2_1Aligned.sortedByCoord.out.markDups	K1_1Aligned.sortedByCoord.out.markDups	C3_1Aligned.sortedByCoord.out.markDups	K3_1Aligned.sortedByCoord.out.markDups
CMC1	295	368	239	491	289	580
CMC2	397	456	300	436	439	509
CMC4	0	0	0	0	0	0
CMIP	1338	1359	1437	1653	1663	2910
CMKLR1	19	21	34	49	35	52
CMPK1	1720	2057	1926	2687	2161	3499
CMPK2	235	272	285	373	227	484
CMSS1	936	960	1017	1315	1102	1762
CMTM1	16	28	12	21	30	35
CMTM2	8	5	8	6	2	10
CMTM3	1509	1546	1541	1906	1633	2589
CMTM4	326	348	262	488	420	630
CMTM5	0	0	0	0	0	0
CMTM6	3031	3406	2792	3880	3522	5179
CMTM7	296	244	334	430	280	577
CMTM8	0	0	0	0	0	0
CMTR1	909	817	773	1209	925	1580
CMTR2	491	552	480	695	614	960
CMYA5	7	8	6	9	5	5
CNBD1	0	0	0	0	0	0
CNBD2	48	36	61	40	37	43
CNBP	7583	8093	7631	10438	8580	13896
CNDP1	1	0	0	0	0	0
CNDP2	833	763	931	1128	1020	1679
CNEP1R1	290	238	239	362	382	502
CNFN	0	0	0	0	0	0
CNGA1	2	1	3	0	1	2
CNGA2	0	0	0	0	0	0
CNGA3	0	0	0	0	0	0
CNGA4	1	1	0	0	1	0
CNGB1	0	0	0	0	0	0
CNGB3	0	0	0	0	0	0
CNIH1	836	898	870	1301	978	1697
CNIH2	43	28	18	20	32	36
CNIH3	52	44	66	61	48	113
CNIH4	864	845	741	1065	940	1313
CNKSR1	19	13	10	8	10	20
CNKSR2	140	137	88	182	159	212
CNKSR3	101	85	109	135	135	200
CNMD	0	0	0	0	0	0
CNN1	0	0	1	0	0	0
CNN2	7333	7459	6670	7757	8756	12521
CNN3	0	0	0	0	0	0
CNNM1	0	0	0	0	0	0
CNNM2	275	277	196	266	262	340
CNNM3	272	244	276	318	266	448
CNNM4	182	119	107	190	162	262
CNOT1	2962	3602	3120	4313	3563	5816
CNOT10	625	693	539	835	719	1016
CNOT11	1157	1146	1094	1437	1333	2119
CNOT2	1905	2060	1787	2428	2368	3527
CNOT3	1529	1346	1255	1521	1616	2370
CNOT4	398	416	371	478	552	740
CNOT6	956	1072	990	1230	1199	1845
CNOT6L	1911	1991	1711	2451	2149	2873
CNOT7	2729	2939	2777	3540	3137	4863
CNOT8	1613	1664	1413	1811	1928	2617
CNOT9	1511	1452	1354	1862	1669	2498
CNP	924	954	948	1069	1159	1741
CNPPD1	1152	1204	1125	1302	1237	1762
CNPY1	0	0	0	0	0	0
CNPY2	232	170	161	216	201	349
CNPY3	2229	2157	2174	2420	2465	3690
CNPY4	155	172	122	167	146	201
CNR1	0	0	0	0	0	0
CNR2	240	169	169	206	334	476
CNRIP1	14	11	3	15	8	6
CNST	679	631	503	815	809	1120
CNTD1	11	7	5	2	13	10
CNTD2	16	12	4	6	13	14
CNTF	27	22	19	28	34	46
CNTFR	0	0	0	0	0	1
CNTLN	228	263	244	333	269	451
CNTN1	0	0	0	0	0	0
CNTN2	0	0	1	0	0	0
CNTN3	0	0	0	0	0	0
CNTN4	173	220	179	242	269	335
CNTN5	0	0	0	0	0	0
CNTN6	0	0	0	0	0	0
CNTNAP1	1025	807	640	870	1045	1436
CNTNAP2	0	0	0	0	0	0
CNTNAP3	0	0	2	0	0	0
CNTNAP3B	1	0	0	0	0	0
CNTNAP4	0	0	0	0	0	0
CNTNAP5	0	0	0	0	0	0
CNTRL	1901	1934	1402	1950	2227	2959
CNTROB	1778	1487	1174	1564	1834	2501
COA1	365	348	345	487	380	566
COA3	367	419	323	442	367	526
COA4	1029	1057	883	1237	925	1407
COA5	457	476	411	650	493	842
COA6	680	757	620	1075	615	1084
COA7	1174	1212	1225	1550	1358	2023
COASY	2010	2031	1883	2603	1918	3432
COBL	0	0	0	0	0	0
COBLL1	1	3	0	0	0	0
COCH	272	282	211	355	331	469
COG1	345	348	333	425	380	624
COG2	917	966	1011	1185	978	1616
COG3	901	897	757	1142	952	1507
COG4	939	1040	778	1046	901	1496
COG5	470	553	572	792	570	979
COG6	469	518	481	677	486	897
COG7	569	559	527	640	566	908
COG8	579	593	543	741	678	997
COIL	649	690	640	852	642	1046
COL10A1	0	0	0	0	0	0
COL11A1	0	0	0	0	0	0
COL11A2	64	78	30	61	57	88
COL12A1	0	2	0	0	2	0
COL13A1	0	0	0	0	0	0
COL14A1	2	1	1	0	1	1
COL15A1	44	42	25	31	33	71
COL16A1	0	0	0	0	0	0
COL17A1	0	0	0	0	0	0
COL18A1	107	183	113	150	165	263
COL19A1	0	0	0	0	0	0
COL1A1	11	4	5	16	8	21
COL1A2	0	0	0	0	0	0
COL20A1	3	2	1	0	3	2
COL21A1	2	2	2	0	7	0
COL22A1	3	1	0	1	4	3
COL23A1	279	243	390	364	379	732
COL24A1	118	99	97	150	178	125
COL25A1	0	0	1	0	0	0
COL26A1	0	1	0	3	0	0
COL27A1	2643	2204	2464	3186	3114	5192
COL28A1	2	0	2	3	0	0
COL2A1	0	0	0	0	0	1
COL3A1	0	0	0	0	0	0
COL4A1	63	57	50	72	90	148
COL4A2	138	118	89	166	123	160
COL4A3	0	0	0	0	0	0
COL4A3BP	550	596	547	702	630	1167
COL4A4	0	0	0	0	0	0
COL4A5	0	3	3	4	3	6
COL4A6	0	0	0	0	0	0
COL5A1	3	7	3	9	2	15
COL5A2	4	4	5	10	4	7
COL5A3	0	0	0	0	0	0
COL6A1	10	5	9	5	5	17
COL6A2	0	0	0	0	0	0
COL6A3	121	122	205	203	187	322
COL6A5	0	0	0	0	0	0
COL6A6	0	0	2	0	1	0
COL7A1	136	93	190	169	190	190
COL8A1	0	0	0	0	0	0
COL8A2	1	2	1	3	0	3
COL9A1	0	0	0	0	1	0
COL9A2	756	639	695	817	813	1384
COL9A3	589	490	275	456	463	596
COLCA2	0	0	0	0	0	0
COLEC10	0	0	0	0	0	0
COLEC11	5	8	5	0	2	13
COLEC12	0	1	0	0	0	0
COLGALT1	10730	10057	9895	11280	13816	17696
COLGALT2	3	7	2	5	1	9
COLQ	74	74	59	76	83	126
COMMD1	204	228	176	262	173	297
COMMD10	303	375	339	476	358	586
COMMD2	546	581	535	734	573	993
COMMD3	562	707	428	691	543	838
COMMD3-BMI1	0	0	0	0	0	0
COMMD4	1329	1306	1090	1532	1272	1906
COMMD5	459	514	495	559	547	753
COMMD6	1276	1515	1099	1789	1157	1885
COMMD7	958	961	995	1053	1084	1414
COMMD8	749	860	788	953	804	1329
COMMD9	898	890	837	1009	1021	1413
COMP	0	0	0	0	0	1
COMT	3922	4086	3393	4622	4200	5605
COMTD1	423	443	446	463	451	752
COPA	3812	3963	3828	5051	4232	7302
COPB1	2229	2573	2301	3256	2558	4056
COPB2	2279	2417	2322	2910	2472	4102
COPE	3550	3660	3050	3952	3384	4841
COPG1	2430	2623	2575	3100	2841	4581
COPG2	843	760	715	970	889	1356
COPRS	777	671	726	819	794	1000
COPS2	1043	1206	1084	1491	1158	2035
COPS3	1494	1633	1401	1978	1663	2501
COPS4	685	742	679	914	706	1140
COPS5	959	1022	1005	1351	1158	1798
COPS6	994	1024	815	1252	932	1645
COPS7A	971	882	879	1050	928	1425
COPS7B	1314	1180	1107	1453	1215	1912
COPS8	289	353	336	478	298	627
COPS9	524	520	410	669	324	680
COPZ1	1785	1848	1658	2138	1844	2873
COPZ2	1	0	0	0	1	3
COQ10A	162	213	140	214	184	277
COQ10B	288	296	291	398	342	462
COQ2	544	493	565	742	543	959
COQ3	441	529	417	620	471	776
COQ4	781	625	643	817	852	1175
COQ5	663	719	591	892	659	1095
COQ6	169	183	181	212	204	294
COQ7	483	478	445	662	476	675
COQ8A	2817	2687	2465	3090	3196	4337
COQ8B	590	524	442	676	586	843
COQ9	967	956	926	1237	997	1621
CORIN	3	1	2	0	2	0
CORO1A	9336	8953	8938	10672	9991	15583
CORO1B	984	991	988	1111	1015	1591
CORO1C	2676	2877	3172	3536	3512	5422
CORO2A	53	48	73	73	70	177
CORO2B	0	9	1	2	3	4
CORO6	49	54	29	42	31	65
CORO7	413	388	328	409	424	498
CORO7-PAM16	0	0	0	0	0	0
CORT	2	0	1	2	0	2
COTL1	5113	5149	6243	6738	6124	10330
COX10	339	406	367	517	396	630
COX11	389	366	300	446	416	675
COX14	388	376	347	542	292	551
COX15	1069	1143	1135	1703	1204	2079
COX16	39	24	15	22	24	21
COX17	405	461	329	526	313	524
COX18	480	579	507	676	662	979
COX19	781	626	609	776	772	1121
COX20	446	405	355	373	410	669
COX4I1	9239	9411	6495	2956	9415	4158
COX4I2	0	0	0	0	0	0
COX5A	2974	3255	3105	4237	2865	5144
COX5B	3073	3461	2935	4530	2476	4449
COX6A1	187	189	131	250	187	251
COX6A2	0	0	0	0	0	0
COX6B1	3589	3679	3136	4721	3003	5190
COX6B2	0	0	0	0	2	0
COX6C	3004	3206	2708	4337	2425	4543
COX7A1	1	0	2	0	0	0
COX7A2	1861	1992	1631	2736	1375	2657
COX7A2L	2450	2735	2403	3373	3164	4375
COX7B	1572	1793	1498	2351	1520	2362
COX7B2	0	0	2	0	0	0
COX7C	3247	3542	2886	4799	2885	4656
COX8A	301	377	280	455	237	419
COX8C	0	0	0	0	3	0
CP	1	0	2	2	6	3
CPA1	0	0	0	0	0	0
CPA2	1	2	0	0	0	0
CPA3	0	0	0	0	0	0
CPA4	0	0	0	0	0	0
CPA5	0	0	0	0	0	0
CPA6	0	0	0	0	0	0
CPAMD8	8	4	10	5	3	2
CPB1	0	0	0	0	0	0
CPB2	4	4	2	2	1	10
CPD	830	896	897	1202	893	1694
CPE	0	0	0	0	0	0
CPEB1	0	0	0	0	0	0
CPEB2	781	661	681	889	892	1429
CPEB3	123	149	113	157	136	210
CPEB4	185	174	204	250	239	345
CPED1	5	6	4	11	5	14
CPHXL	0	0	0	0	0	0
CPLX1	134	142	182	140	148	237
CPLX2	0	0	0	0	0	0
CPLX3	13	7	10	12	13	9
CPLX4	0	1	0	0	0	0
CPM	2041	1868	2320	2978	2251	4382
CPN1	0	0	0	0	0	0
CPN2	0	0	0	0	0	0
CPNE1	1820	1795	1447	2060	1872	2929
CPNE2	1822	1991	1499	2032	1651	2376
CPNE3	144	173	142	164	170	204
CPNE4	0	0	0	0	0	0
CPNE5	31	35	31	33	24	40
CPNE6	0	0	0	1	0	0
CPNE7	55	40	39	77	36	104
CPNE8	644	519	471	690	825	1066
CPNE9	8	9	3	6	15	12
CPO	0	3	0	1	0	0
CPOX	923	952	761	1166	1043	1593
CPPED1	672	772	830	986	807	1445
CPQ	376	383	471	562	534	865
CPS1	31	13	26	22	25	44
CPSF1	4046	3699	3608	4327	4236	6601
CPSF2	1811	1955	1675	2360	1978	3024
CPSF3	1948	2076	1782	2318	2188	3278
CPSF4	800	792	762	1143	857	1457
CPSF4L	3	5	2	2	2	9
CPSF6	3019	3025	2695	3669	3137	5514
CPSF7	2017	2014	1642	2431	2166	3388
CPT1A	1946	1980	2303	2427	2540	3955
CPT1B	33	30	21	28	22	52
CPT1C	1	3	0	0	0	1
CPT2	592	671	644	836	547	980
CPTP	344	365	381	436	412	600
CPVL	332	302	453	424	358	720
CPXCR1	0	0	0	0	0	0
CPXM1	20	13	13	22	14	20
CPXM2	0	0	0	0	0	0
CPZ	1	0	0	0	8	5
CR1	5	2	8	2	2	5
CR1L	0	0	0	0	0	0
CR2	0	0	0	0	0	0
CRABP1	0	0	0	0	0	0
CRABP2	23	8	18	7	14	19
CRACR2A	498	469	356	465	494	798
CRACR2B	34	31	32	25	25	57
CRADD	144	161	152	211	181	180
CRAMP1	723	709	588	786	905	1201
CRAT	302	299	281	244	324	471
CRB1	0	0	0	0	0	2
CRB2	6	1	1	3	7	0
CRB3	7	4	1	5	0	4
CRBN	410	488	416	579	470	775
CRCP	570	569	634	654	639	965
CRCT1	0	0	0	0	0	0
CREB1	773	808	713	1004	897	1451
CREB3	239	261	210	299	268	370
CREB3L1	5	2	4	6	2	9
CREB3L2	513	556	463	641	600	858
CREB3L3	0	0	0	0	0	0
CREB3L4	180	190	137	158	171	257
CREB5	13	10	13	10	12	10
CREBBP	1405	1345	1339	1407	1600	2227
CREBL2	277	348	265	380	316	536
CREBRF	186	158	152	182	260	290
CREBZF	1212	1230	955	1483	1173	2115
CREG1	1534	1710	2024	2170	2053	3420
CREG2	4	2	13	3	4	6
CRELD1	165	180	160	230	205	305
CRELD2	591	443	586	683	612	1049
CREM	196	196	142	236	174	266
CRH	0	0	0	0	0	0
CRHBP	0	0	0	0	0	0
CRHR1	0	0	0	0	0	0
CRHR2	0	1	0	0	0	4
CRIM1	42	33	49	50	62	64
CRIP1	57	41	64	60	44	84
CRIP2	15	35	11	20	8	2
CRIP3	1	0	0	1	1	1
CRIPAK	268	130	157	173	289	314
CRIPT	149	199	195	224	161	324
CRISP1	0	0	0	0	0	0
CRISP2	0	0	0	0	0	0
CRISP3	0	0	0	0	0	0
CRISPLD1	585	525	597	727	687	1120
CRISPLD2	3	3	16	3	10	16
CRK	444	458	465	498	545	841
CRKL	1525	1632	1337	1798	1629	2488
CRLF1	10	9	15	7	18	32
CRLF2	18	9	18	12	22	28
CRLF3	302	300	253	360	337	481
CRLS1	936	851	825	1113	1009	1434
CRMP1	0	0	0	0	0	0
CRNKL1	747	795	650	902	753	1244
CRNN	0	0	0	0	0	0
CROCC	43	27	13	32	36	29
CROCC2	0	0	0	0	0	0
CROT	12	26	12	14	20	31
CRP	0	0	0	0	0	0
CRTAC1	1	0	4	0	0	0
CRTAM	7	11	28	25	15	33
CRTAP	2711	2831	2752	3693	3212	5205
CRTC1	774	648	741	806	725	1193
CRTC2	2117	1636	1370	1780	2235	2957
CRTC3	518	481	414	608	576	851
CRX	0	0	0	0	0	0
CRY1	339	276	246	367	291	629
CRY2	336	332	309	436	403	701
CRYAA	0	0	0	0	0	0
CRYAB	0	0	0	3	2	3
CRYBA1	0	0	0	0	0	0
CRYBA2	0	0	1	0	0	0
CRYBA4	2	0	0	1	0	0
CRYBB1	53	35	29	47	45	55
CRYBB2	1	0	1	1	2	0
CRYBB3	0	0	0	0	0	0
CRYBG3	480	498	422	562	662	947
CRYGA	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0
CRYGN	0	0	0	0	0	2
CRYGS	85	47	56	66	75	107
CRYL1	67	79	110	102	104	243
CRYM	0	0	2	1	1	0
CRYM-AS1	7	15	3	17	22	9
CRYZ	180	206	198	327	170	410
CRYZL1	335	313	290	387	387	557
CS	5747	6165	6009	8124	6163	10737
CSAD	384	217	237	244	413	481
CSAG1	0	0	0	0	0	0
CSAG2	0	0	0	0	0	0
CSAG3	0	0	0	0	0	0
CSDC2	2	0	5	1	0	2
CSDE1	7212	7884	7894	10355	9196	14138
CSE1L	1539	1844	1740	2464	1838	2853
CSF1	35	10	93	44	42	89
CSF1R	878	873	972	972	1123	1612
CSF2	0	0	0	0	0	0
CSF2RA	679	619	688	884	780	1150
CSF2RB	297	273	340	366	397	656
CSF3	0	0	0	0	1	0
CSF3R	3821	2613	2742	3278	4382	6010
CSGALNACT1	5	0	3	7	8	16
CSGALNACT2	1059	954	1191	1537	1313	2310
CSH1	0	0	0	0	0	0
CSH2	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0
CSK	4784	5039	4953	5890	5188	7928
CSMD1	8	0	1	2	0	4
CSMD2	0	0	0	0	0	0
CSMD3	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0
CSN2	0	0	0	0	0	0
CSN3	0	0	0	0	0	0
CSNK1A1	2939	2985	2958	3853	3546	5192
CSNK1A1L	0	0	0	0	0	0
CSNK1D	2549	2635	2427	2878	2950	4438
CSNK1E	1244	1150	1100	1331	1308	1973
CSNK1G1	296	270	282	377	284	527
CSNK1G2	4477	4613	3912	4681	4925	6509
CSNK1G3	284	380	320	436	396	615
CSNK2A1	1950	2165	2161	2876	2201	3772
CSNK2A2	1910	2165	1761	2381	2257	3369
CSNK2A3	1	4	3	4	6	6
CSNK2B	97	127	83	143	120	152
