Gene,MOLM13_sgNT_R1,MOLM13_sgNT_R2
AC002310.3,0.202,0.28
AC002310.4,0,0
AC002310.5,0.317,0.049
AC002331.1,0,0
AC002347.1,0.539,0.623
AC002347.2,0,0
AC002350.2,1.913,2.432
AC002351.1,0,0
AC002366.1,0,0
AC002368.1,0,0
AC002375.1,0,0
AC002377.1,0,0
AC002378.1,0,0
AC002381.1,0,0
AC002383.1,0,0
AC002386.1,0,0
AC002395.1,0,0
AC002398.1,0,0
AC002398.2,0,0.102
AC002401.1,0,0
AC002401.2,0,0
AC002401.3,0,0
AC002401.4,0,0
AC002407.2,0,0
AC002428.1,0,0
AC002428.2,0,0
AC002429.1,0,0
AC002451.1,0,0.01
AC002451.2,0,0
AC002456.1,0,0
AC002456.2,0,0
AC002458.1,0,0
AC002460.1,0,0
AC002460.2,0,0.017
AC002463.1,0,0
AC002464.1,0,0.132
AC002465.1,0,0
AC002467.1,2.469,1.686
AC002470.1,0.184,1.023
AC002470.2,0,0
AC002472.1,0,0
AC002472.2,0,0
AC002472.3,0,0
AC002472.4,0.268,0
AC002477.1,0,0
AC002480.1,0,0
AC002480.2,0,0
AC002485.1,0,0
AC002486.1,0,0
AC002486.2,0,0
AC002487.1,0,0
AC002504.1,0.105,0
AC002511.1,0,0
AC002511.2,0,0
AC002511.3,0,0
AC002519.1,0.104,0
AC002519.2,0.7,0.277
AC002524.1,4.928,2.094
AC002525.1,0,0
AC002529.1,0,0
AC002539.2,0,0
AC002540.1,0,0.05
AC002542.1,0,0
AC002542.6,0,0
AC002543.1,0,0
AC002545.1,0,0.372
AC002546.1,0,0
AC002550.1,0,0
AC002550.2,1.11,1.539
AC002551.1,0.246,0
AC002553.1,0.363,0.42
AC002553.2,0.44,1.221
AC002558.1,0.245,0.528
AC002558.2,0.758,0.2
AC002558.3,0.311,0.468
AC002563.1,0.162,0
AC002978.1,0,0
AC002979.1,0,0
AC002981.1,0,0
AC002984.1,0,0
AC002985.1,0.106,0
AC002992.1,0,0
AC002994.1,0,0
AC002996.1,0.093,0.086
AC003001.1,0,0
AC003001.2,0,0
AC003002.1,0,0
AC003002.2,0.14,0.259
AC003002.3,0.723,0.724
AC003005.1,0,0
AC003005.2,0.219,0
AC003006.1,0.714,0.513
AC003009.1,0,0
AC003035.1,0.113,0
AC003035.2,0,0
AC003043.2,0,0
AC003043.3,0,0
AC003044.1,0,0
AC003070.1,0,0
AC003070.2,0,0
AC003070.7,0,0
AC003071.1,0,0
AC003072.1,2.857,2.972
AC003072.2,0,0
AC003077.1,0,0
AC003080.1,0,0
AC003084.1,0,0
AC003086.1,0.537,0.426
AC003087.1,0,0
AC003092.1,0.479,0.253
AC003092.2,0,0
AC003093.1,0,0.051
AC003098.1,0,0
AC003101.1,0,0
AC003101.2,0.165,0.152
AC003101.3,0,0
AC003102.1,0.724,1.071
AC003658.1,0,0
AC003659.1,0,0
AC003666.1,0,0
AC003669.1,0,0
AC003681.1,0.003,0
AC003682.1,0,0
AC003684.1,0,0
AC003685.1,0,0
AC003685.2,0,0
AC003686.1,0,0
AC003687.1,0,0
AC003688.2,0,0
AC003688.3,0,0
AC003950.1,0,0
AC003956.1,0,0
AC003957.1,0,0
AC003958.1,0,0
AC003958.2,0,0
AC003965.1,0.343,0.238
AC003965.2,0,0.254
AC003968.1,0,0
AC003973.1,0,0
AC003973.2,0,0
AC003975.1,0,0
AC003982.1,0,0
AC003984.1,0,0
AC003985.1,0,0
AC003986.1,0,0
AC003986.2,0.128,0.157
AC003986.3,0,0
AC003988.1,0,0
AC003989.1,0,0
AC003989.2,0,0
AC003991.1,0.015,0.042
AC003991.2,0,0
AC003992.1,0.131,0.121
AC004000.1,0.601,0.139
AC004004.1,0,0
AC004006.1,0,0
AC004009.1,0,0
AC004009.2,0,0
AC004009.3,0,0
AC004012.1,0,0
AC004014.1,0,0
AC004014.2,0,0
AC004016.1,0,0
AC004019.18,0,0
AC004022.1,0,0
AC004022.2,0,0
AC004023.1,0,0
AC004024.1,0.295,0.273
AC004034.1,0.429,0.132
AC004039.1,0,0
AC004047.1,0,0
AC004052.1,0,0
AC004053.1,0,0
AC004054.1,0,0
AC004057.1,1.609,1.353
AC004062.1,0,0
AC004063.1,0,0
AC004066.1,0,0
AC004067.1,0.312,0.481
AC004069.1,1.327,1.841
AC004069.2,0,0.06
AC004074.1,0,0
AC004076.1,0,0
AC004076.2,1.228,1.601
AC004079.1,0,0
AC004080.1,0,0
AC004080.17,0,0
AC004080.2,12.973,9.571
AC004080.3,0.19,0.264
AC004080.4,0.23,0
AC004080.5,0.792,0.183
AC004080.6,0,0.22
AC004083.1,0.03,0.042
AC004112.1,0,0.095
AC004129.2,0.092,0
AC004129.3,0,0
AC004129.4,0,0
AC004130.2,0,0
AC004134.1,0,0
AC004147.1,0,0
AC004147.2,0,0
AC004147.3,0,0
AC004147.4,0,0
AC004147.5,0,0
AC004148.1,3.083,2.572
AC004156.1,0.044,0.02
AC004158.1,0,0
AC004160.1,0,0.012
AC004160.2,0,0
AC004217.1,0,0
AC004217.2,0,0
AC004221.1,0.086,0.08
AC004223.1,0,0.249
AC004223.2,0,0.124
AC004223.3,0,0.034
AC004223.4,0.219,0.203
AC004224.1,0,0
AC004224.2,0,0
AC004231.1,0,0
AC004231.3,0,0
AC004232.1,0,0
AC004232.2,1.249,0.257
AC004233.1,0.12,0
AC004233.2,0.287,0.319
AC004233.3,0.175,0
AC004241.1,0.562,0.47
AC004241.2,1.969,1.669
AC004241.3,1.55,0.912
AC004241.4,0,0
AC004241.5,0,0
AC004253.1,0,0
AC004253.2,0,0
AC004257.1,0,0
AC004263.1,0,0
AC004263.2,0,0.029
AC004264.1,0,0
AC004264.2,0,0
AC004381.1,0.415,0.192
AC004381.3,0.164,0.101
AC004381.4,0.057,0
AC004383.1,1.513,1.865
AC004386.1,0.287,0.443
AC004386.2,0,0
AC004408.1,0,0
AC004408.2,0,0
AC004415.1,0,0
AC004448.1,0,0
AC004448.2,0,0
AC004448.3,0,0
AC004448.5,0,0
AC004449.1,0,0.156
AC004453.1,47.859,47.88
AC004453.2,0,0
AC004458.1,0,0
AC004460.1,0,0
AC004461.2,0,0.167
AC004461.3,0.181,0.839
AC004464.1,0,0
AC004466.1,0.27,0.249
AC004466.2,0.847,0.131
AC004466.3,0,0
AC004467.1,0,0
AC004470.1,0,0
AC004471.1,0,0
AC004471.2,0,0
AC004477.1,0.124,0.092
AC004477.2,0.379,0
AC004477.3,0.617,0.457
AC004485.1,0.415,0
AC004486.1,0,0
AC004490.1,0,0
AC004491.1,0.116,0.107
AC004492.1,1.261,2.581
AC004494.1,0,0
AC004494.2,0.263,0.162
AC004520.1,0,0
AC004522.3,0,0
AC004522.4,0,0
AC004522.5,0,0
AC004522.6,0,0
AC004528.1,0,0
